contractSymbol,expiration,DTE,option_type,strike,spot,bid,ask,mid,contract_cost,volume,open_interest,spread_pct,IV,BS_value,mispricing_vs_mid,delta,gamma,theta_per_day,theta_pct_of_premium,vega_per_vol_point,probability_ITM,probability_touch_approx,expected_move,scenario_spot_1sigma,scenario_value_after_1day,scenario_return_after_1day,technical_score,technical_direction,liquidity_score,decision_score,target_100pct_scenario,within_risk_budget,passes_liquidity_filter,distance_from_spot_pct
QQQ260723C00711000,2026-07-23,0.9189696845949074,call,711.0,705.27001953125,1.94,2.2,2.0700000000000003,207.00000000000003,9625,734,0.1256038647342996,0.21363091064453127,1.0033854514686027,-0.5152727287591292,0.22961265351833715,0.04012680620812878,-1.26543963898284,0.6113234970931594,0.10735390640154058,0.22637661016607502,0.45275322033215004,7.560032712501715,712.8300522437518,1.830106335929031,-0.11589065897148265,-95.0,bearish,0.8429951690821256,33.04326288755587,False,False,True,0.008124520127139823
QQQ260723C00720000,2026-07-23,0.9189696845949074,call,720.0,705.27001953125,0.2,0.23,0.21500000000000002,21.500000000000004,18171,2143,0.1395348837209302,0.17652190673828128,0.021640757335608107,-0.8993453147181019,0.010226824883970437,0.004350831810667705,-0.09316341039386537,0.43331818787844356,0.00961811733736236,0.00998867639084105,0.0199773527816821,6.246808504388809,711.5168280356388,0.0,-1.0,-95.0,bearish,0.8255813953488372,28.003219556009128,False,True,True,0.020885590002166943
QQQ260723C00712000,2026-07-23,0.9189696845949074,call,712.0,705.27001953125,1.58,1.88,1.73,173.0,9645,833,0.17341040462427734,0.21192194335937498,0.7796517952769477,-0.5493342223832672,0.18987675294223075,0.03616957591798268,-1.1214153803350762,0.6482169828526452,0.09599276702058977,0.18700816596203096,0.3740163319240619,7.499555281864936,712.7695748131149,0.769634482408037,-0.5551245766427532,-95.0,bearish,0.7832369942196533,27.763569530822213,False,False,True,0.009542416779920737
QQQ260723C00715000,2026-07-23,0.9189696845949074,call,715.0,705.27001953125,0.82,0.9,0.86,86.0,14715,1856,0.09302325581395357,0.1909260595703125,0.23879523286872484,-0.7223311245712503,0.07854262088577911,0.02169908453824335,-0.5450051806794756,0.6337269542784599,0.05188308447045488,0.07714854519402595,0.1542970903880519,6.75654684832737,712.0265663795774,1.255681405067868e-58,-1.0,-95.0,bearish,0.883720930232558,24.755119965747085,False,False,True,0.013796106738263036
QQQ260723C00714000,2026-07-23,0.9189696845949074,call,714.0,705.27001953125,1.03,1.17,1.1,110.00000000000001,7773,463,0.12727272727272718,0.19715158325195312,0.36756626459674635,-0.6658488503665942,0.10963404222193401,0.026886845177745925,-0.7205075983520348,0.6550069075927589,0.06638336777904973,0.10779097484405142,0.21558194968810285,6.976857488504208,712.2468770197542,1.6437304533701774e-21,-1.0,-95.0,bearish,0.840909090909091,24.29893223913526,False,False,True,0.012378210085482344
QQQ260723C00713000,2026-07-23,0.9189696845949074,call,713.0,705.27001953125,1.26,1.47,1.365,136.5,6630,537,0.15384615384615383,0.20252262329101559,0.5319260872911542,-0.6103105587610591,0.1450935706137334,0.03181566765647046,-0.9003008984346051,0.6595610977542895,0.08069260787597501,0.14279067804196655,0.2855813560839331,7.166929413362653,712.4369489446127,0.00013800093280713632,-0.9998989004155259,-95.0,bearish,0.8076923076923077,24.289722734372422,False,False,True,0.01096031343270143
QQQ260723C00717000,2026-07-23,0.9189696845949074,call,717.0,705.27001953125,0.46,0.54,0.5,50.0,5375,674,0.16000000000000003,0.18396812133789062,0.0995073257787702,-0.8009853484424596,0.03824596620309636,0.012762012448667155,-0.29724513586338674,0.5944902717267735,0.02940227283326121,0.037485733561977874,0.07497146712395575,6.5103173093062,711.7803368405562,8.201433504177619e-185,-1.0,-95.0,bearish,0.7999999999999999,22.679811953971825,False,False,True,0.016631900043824643
QQQ260723P00716000,2026-07-23,0.9189696845949074,put,716.0,705.27001953125,7.22,11.25,9.235,923.5,384,368,0.43638332430969146,0.1783529431152344,10.781014962124573,0.16740822546015965,-0.9526774352163772,0.01563391413655539,-0.26389537250358847,0.028575568219121654,0.0349194318215591,0.9535659193339852,1.0,6.311605751499642,698.9584137797503,17.04153156803011,0.8453201481353665,-95.0,bearish,0.75,81.71269702539094,False,False,False,0.015214003391043951
QQQ260723P00717000,2026-07-23,0.9189696845949074,put,717.0,705.27001953125,8.06,12.08,10.07,1007.0,80,211,0.3992055610724925,0.1726156958007813,11.726988774660526,0.16454704812914867,-0.9705081216403427,0.01097808644604641,-0.14642586859684117,0.014540801250927623,0.023731549496015508,0.9710964472107144,1.0,6.108574377219029,699.161445154031,17.8385001100645,0.7714498619726415,-95.0,bearish,0.75,81.71118667818928,False,False,False,0.016631900043824643
QQQ260723P00718000,2026-07-23,0.9189696845949074,put,718.0,705.27001953125,8.97,12.94,10.955,1095.5,349,211,0.3623916020082153,0.1662681030273438,12.692636919364304,0.1586158757977456,-0.9833180482546893,0.007045843157427994,-0.0551553890762741,0.005034722873233601,0.014671046014562272,0.9836732465748231,1.0,5.883943920568138,699.3860756106818,18.61386956993408,0.6991209100807012,-95.0,bearish,0.75,81.57559043663547,False,False,False,0.018049796696605336
